Name_PT,Time_Test_PT_1,Time_Test_PT_2,Time_Test_PT_3,Time_Test_PT_4,Time_Test_PT_5,Time_Test_PT_6
RT-PCR,38.14% (37.86%–38.40%),37.49% (37.13%–37.88%),36.68% (36.24%–37.18%),34.49% (33.97%–35.27%),32.61% (32.02%–33.70%),30.01% (29.30%–31.56%)
BD Veritor,38.14% (37.86%–38.40%),37.58% (37.22%–37.96%),36.93% (36.50%–37.40%),35.11% (34.51%–35.87%),33.52% (32.78%–34.67%),31.36% (30.38%–33.07%)
BinaxNOW,38.14% (37.86%–38.40%),37.59% (37.22%–37.96%),36.91% (36.46%–37.38%),35.10% (34.52%–35.83%),33.56% (32.87%–34.54%),31.50% (30.58%–32.88%)
CareStart (AN),38.14% (37.86%–38.40%),37.57% (37.21%–37.94%),36.87% (36.43%–37.35%),35.00% (34.35%–35.78%),33.41% (32.62%–34.51%),31.26% (30.23%–32.81%)
CareStart (NS),38.14% (37.86%–38.40%),37.51% (37.15%–37.90%),36.73% (36.30%–37.23%),34.59% (34.08%–35.36%),32.74% (32.15%–33.78%),30.19% (29.51%–31.68%)
Celltrion DiaTrust,38.14% (37.86%–38.40%),37.51% (37.15%–37.89%),36.73% (36.31%–37.22%),34.61% (34.07%–35.39%),32.78% (32.16%–33.84%),30.26% (29.51%–31.81%)
Clip COVID,38.14% (37.86%–38.40%),37.51% (37.15%–37.90%),36.73% (36.29%–37.22%),34.62% (34.07%–35.41%),32.82% (32.16%–33.95%),30.36% (29.51%–32.03%)
Ellume,38.14% (37.86%–38.40%),37.50% (37.13%–37.88%),36.69% (36.26%–37.19%),34.51% (33.99%–35.28%),32.62% (32.05%–33.71%),30.04% (29.35%–31.57%)
Liaison (AN),38.14% (37.86%–38.40%),37.51% (37.15%–37.90%),36.73% (36.29%–37.21%),34.62% (34.07%–35.40%),32.81% (32.15%–33.94%),30.35% (29.51%–32.00%)
Liaison (NS),38.14% (37.86%–38.40%),37.52% (37.16%–37.90%),36.74% (36.31%–37.24%),34.66% (34.10%–35.46%),32.88% (32.22%–33.99%),30.45% (29.63%–32.01%)
LumiraDX (AN),38.14% (37.86%–38.40%),37.50% (37.14%–37.89%),36.69% (36.25%–37.19%),34.52% (33.98%–35.35%),32.65% (32.02%–33.80%),30.08% (29.30%–31.72%)
LumiraDX (NS),38.14% (37.86%–38.40%),37.49% (37.13%–37.88%),36.68% (36.24%–37.18%),34.49% (33.97%–35.30%),32.61% (32.02%–33.73%),30.02% (29.30%–31.58%)
Omnia,38.14% (37.86%–38.40%),37.56% (37.21%–37.94%),36.84% (36.42%–37.33%),34.93% (34.40%–35.74%),33.31% (32.64%–34.42%),31.14% (30.26%–32.73%)
SCoV-2 Ag Detect,38.14% (37.86%–38.40%),37.57% (37.21%–37.93%),36.88% (36.44%–37.35%),35.02% (34.41%–35.77%),33.44% (32.70%–34.46%),31.33% (30.32%–32.75%)
Simoa,38.14% (37.86%–38.40%),37.50% (37.13%–37.89%),36.71% (36.26%–37.20%),34.57% (34.02%–35.34%),32.73% (32.08%–33.77%),30.20% (29.45%–31.73%)
Sofia,38.14% (37.86%–38.40%),37.51% (37.14%–37.90%),36.73% (36.27%–37.23%),34.63% (34.07%–35.43%),32.84% (32.13%–33.98%),30.38% (29.46%–32.08%)
Sofia 2 Flu+SARS,38.14% (37.86%–38.40%),37.52% (37.16%–37.90%),36.75% (36.33%–37.24%),34.65% (34.13%–35.42%),32.83% (32.22%–33.93%),30.32% (29.61%–31.91%)
Status COVID-19/Flu,38.14% (37.86%–38.40%),37.53% (37.18%–37.92%),36.78% (36.37%–37.28%),34.76% (34.21%–35.53%),33.03% (32.38%–34.08%),30.68% (29.79%–32.17%)
Vitros,38.14% (37.86%–38.40%),37.62% (37.24%–37.99%),36.99% (36.51%–37.47%),35.31% (34.59%–36.20%),33.92% (33.00%–35.19%),32.08% (30.83%–33.89%)
