Name_PT,Time_Test_PT_1,Time_Test_PT_2,Time_Test_PT_3,Time_Test_PT_4,Time_Test_PT_5,Time_Test_PT_6
RT-PCR,39.8% (39.6%–40.1%),39.2% (38.9%–39.6%),38.8% (38.4%–39.2%),37.0% (36.5%–37.7%),34.9% (34.3%–35.9%),31.5% (30.7%–33.1%)
BD Veritor,39.8% (39.6%–40.1%),39.3% (39.0%–39.6%),38.9% (38.6%–39.4%),37.5% (37.0%–38.1%),35.7% (35.0%–36.8%),32.9% (31.9%–34.7%)
BinaxNOW,39.8% (39.6%–40.1%),39.3% (39.0%–39.7%),39.0% (38.6%–39.4%),37.5% (37.0%–38.1%),35.7% (35.1%–36.6%),33.0% (32.1%–34.4%)
CareStart (AN),39.8% (39.6%–40.1%),39.3% (39.0%–39.6%),38.9% (38.6%–39.3%),37.4% (36.8%–38.1%),35.6% (34.9%–36.6%),32.8% (31.7%–34.4%)
CareStart (NS),39.8% (39.6%–40.1%),39.2% (38.9%–39.6%),38.8% (38.5%–39.3%),37.1% (36.6%–37.8%),35.0% (34.4%–36.0%),31.7% (31.0%–33.2%)
Celltrion DiaTrust,39.8% (39.6%–40.1%),39.2% (38.9%–39.6%),38.8% (38.5%–39.3%),37.1% (36.6%–37.8%),35.1% (34.5%–36.0%),31.7% (31.0%–33.4%)
Clip COVID,39.8% (39.6%–40.1%),39.3% (38.9%–39.6%),38.8% (38.5%–39.3%),37.1% (36.6%–37.8%),35.1% (34.4%–36.1%),31.8% (31.0%–33.6%)
Ellume,39.8% (39.6%–40.1%),39.2% (38.9%–39.6%),38.8% (38.4%–39.2%),37.0% (36.6%–37.7%),34.9% (34.4%–35.9%),31.5% (30.8%–33.1%)
Liaison (AN),39.8% (39.6%–40.1%),39.3% (38.9%–39.6%),38.8% (38.5%–39.3%),37.1% (36.6%–37.8%),35.1% (34.4%–36.1%),31.8% (31.0%–33.6%)
Liaison (NS),39.8% (39.6%–40.1%),39.3% (38.9%–39.6%),38.8% (38.5%–39.3%),37.2% (36.7%–37.8%),35.1% (34.5%–36.1%),31.9% (31.1%–33.5%)
LumiraDX (AN),39.8% (39.6%–40.1%),39.2% (38.9%–39.6%),38.8% (38.4%–39.2%),37.1% (36.6%–37.7%),34.9% (34.3%–36.0%),31.5% (30.7%–33.2%)
LumiraDX (NS),39.8% (39.6%–40.1%),39.2% (38.9%–39.6%),38.8% (38.4%–39.2%),37.0% (36.5%–37.7%),34.9% (34.3%–35.9%),31.5% (30.7%–33.1%)
Omnia,39.8% (39.6%–40.1%),39.3% (39.0%–39.6%),38.9% (38.6%–39.3%),37.4% (36.9%–38.0%),35.5% (34.9%–36.5%),32.7% (31.7%–34.3%)
SCoV-2 Ag Detect,39.8% (39.6%–40.1%),39.3% (39.0%–39.6%),38.9% (38.6%–39.3%),37.4% (36.9%–38.1%),35.6% (34.9%–36.6%),32.9% (31.8%–34.3%)
Simoa,39.8% (39.6%–40.1%),39.2% (38.9%–39.6%),38.8% (38.4%–39.2%),37.1% (36.6%–37.7%),35.0% (34.4%–36.0%),31.7% (30.9%–33.3%)
Sofia,39.8% (39.6%–40.1%),39.3% (38.9%–39.6%),38.8% (38.5%–39.3%),37.1% (36.6%–37.8%),35.1% (34.4%–36.1%),31.9% (30.9%–33.6%)
Sofia 2 Flu+SARS,39.8% (39.6%–40.1%),39.3% (38.9%–39.6%),38.8% (38.5%–39.3%),37.2% (36.7%–37.8%),35.1% (34.5%–36.1%),31.8% (31.1%–33.4%)
Status COVID-19/Flu,39.8% (39.6%–40.1%),39.3% (39.0%–39.6%),38.9% (38.5%–39.3%),37.2% (36.7%–37.9%),35.3% (34.7%–36.2%),32.2% (31.3%–33.7%)
Vitros,39.8% (39.6%–40.1%),39.4% (39.0%–39.7%),39.0% (38.6%–39.4%),37.6% (37.0%–38.4%),36.1% (35.2%–37.2%),33.6% (32.3%–35.5%)
