Name_Red,Time_Test_Red_1,Time_Test_Red_2,Time_Test_Red_3,Time_Test_Red_4,Time_Test_Red_5
RT-PCR,4.5% (3.6%–5.1%),7.6% (6.1%–8.6%),19.2% (16.0%–21.1%),31.1% (26.3%–33.5%),46.7% (40.1%–49.3%)
BD Veritor,3.9% (3.0%–4.6%),6.5% (5.0%–7.7%),16.2% (12.8%–18.6%),26.7% (21.2%–29.9%),40.8% (32.2%–44.8%)
BinaxNOW,3.9% (3.0%–4.5%),6.5% (5.1%–7.6%),16.4% (13.3%–18.5%),26.6% (22.1%–29.7%),40.1% (33.5%–44.0%)
CareStart (AN),4.0% (3.1%–4.7%),6.7% (5.2%–7.9%),16.8% (13.3%–19.3%),27.4% (22.3%–30.8%),41.2% (34.3%–45.6%)
CareStart (NS),4.4% (3.5%–5.0%),7.4% (5.9%–8.4%),18.7% (15.6%–20.6%),30.5% (25.9%–32.8%),46.0% (39.4%–48.5%)
Celltrion DiaTrust,4.4% (3.5%–5.0%),7.4% (5.9%–8.3%),18.6% (15.4%–20.6%),30.3% (25.6%–32.8%),45.7% (38.7%–48.4%)
Clip COVID,4.3% (3.4%–5.0%),7.3% (5.8%–8.4%),18.6% (15.2%–20.7%),30.2% (25.0%–32.8%),45.2% (37.8%–48.4%)
Ellume,4.5% (3.6%–5.1%),7.5% (6.0%–8.5%),19.1% (15.9%–21.0%),31.0% (26.2%–33.3%),46.6% (40.0%–49.1%)
Liaison (AN),4.3% (3.4%–5.0%),7.3% (5.8%–8.4%),18.6% (15.2%–20.7%),30.2% (25.1%–32.8%),45.3% (37.9%–48.5%)
Liaison (NS),4.3% (3.4%–4.9%),7.3% (5.7%–8.3%),18.4% (15.2%–20.5%),29.9% (25.1%–32.6%),44.9% (37.9%–48.0%)
LumiraDX (AN),4.5% (3.5%–5.1%),7.5% (5.9%–8.6%),19.0% (15.7%–21.1%),30.9% (25.9%–33.5%),46.4% (39.4%–49.2%)
LumiraDX (NS),4.5% (3.6%–5.1%),7.6% (6.0%–8.6%),19.2% (15.9%–21.1%),31.1% (26.2%–33.5%),46.7% (39.9%–49.3%)
Omnia,4.0% (3.1%–4.6%),6.8% (5.3%–7.8%),17.2% (13.9%–19.3%),27.9% (22.8%–30.7%),41.8% (34.5%–45.3%)
SCoV-2 Ag Detect,3.9% (3.1%–4.6%),6.6% (5.2%–7.8%),16.7% (13.6%–19.2%),27.2% (22.6%–30.4%),40.9% (34.1%–45.1%)
Simoa,4.4% (3.5%–5.1%),7.4% (6.0%–8.5%),18.8% (15.8%–20.9%),30.6% (25.9%–33.1%),45.9% (39.4%–48.8%)
Sofia,4.3% (3.4%–5.0%),7.3% (5.8%–8.5%),18.5% (15.2%–20.8%),30.1% (25.0%–33.0%),45.1% (37.8%–48.5%)
Sofia 2 Flu+SARS,4.4% (3.5%–5.0%),7.3% (5.8%–8.3%),18.4% (15.2%–20.5%),30.1% (25.2%–32.4%),45.4% (38.6%–48.1%)
Status COVID-19/Flu,4.2% (3.3%–4.8%),7.1% (5.6%–8.1%),17.9% (14.7%–20.1%),29.2% (24.2%–31.9%),43.8% (37.2%–47.2%)
Vitros,3.6% (2.6%–4.4%),6.0% (4.3%–7.5%),15.3% (11.4%–18.3%),24.9% (18.7%–29.0%),37.4% (28.2%–42.7%)
